#updated:2026-03-27T07:57:34.608Z
,분류,의견,이미지
버그1,버그,"Ex) 어떤 부분을 어떻게 하려고 했는데, 해당 기능이 동작하지 않았다.
(하려는 행위와 어떤 부분이 잘 되지 않았는지 형태로 적어주시면 감사하겠습니다.)",이미지는 셀 내 이미지로 넣어주시면 감사하겠습니다.
의견1,의견,"Ex) 이런 부분이 불편했다. 이렇게 수정되면 좋을 것 같습니다.
(수정 방향까지 적어주시면 더욱 감사하겠습니다.)",
의견2,의견,앱 아이콘에서 캐릭터의 얼굴이 너무 크게 나와서 캐릭터의 모습이 다 담기지 않는 것 같습니다. 원본 크기로 조정 되면 좋을 것 같습니다. (참고 스레드),
버그2,버그,"[현재]
앱 설치 후, 첫 접속 시 검은 화면 (좌측 상단에 SKIP 관련 메뉴 존재)이 노출되면서 진행이 안되는 현상

[수정]
검은 화면 노출 없이 바로 영지로 진입 후 1챕터 시작 연출 및 튜토리얼부터 진행되도록 처리",
의견3,의견,일러스트 화풍 통일이 됐으면 좋겠습니다.,
버그3,버그,"NPC 대화 메세지 박스 잘리는 현상
-3챕터 종료 후 나오는 첫 텍스트",
버그4,버그,튜토리얼 진행중 NPC가 대사를 두번씩 반복하는 증상,
의견4,의견,"건설 버튼 직관성이 좀 떨어지는거같아요, 색깔 초록색으로 해서 이거 누르면 되는구나 싶게해주면 좋을것 같습니다.",
의견5,의견,3챕터 훈련~건설 구간 가속까지 튜토리얼로 이어주면 좋을 것 같습니다. (공짜 가속 or 가속권 지급),
의견6,의견,기마병 150명 훈련 챕터 미션에서 훈련 시간이 너무 길어 무엇을 해야할지 모르겠습니다. 가속권을 사용하게끔 유도하거나 시간을 줄여주셨으면 좋겠습니다.,
버그5,버그,4챕터 시작 데스티나 대사 반복 (궁병 훈련~),
버그6,버그,별의 조각 > 소환 진행 시 버퍼링 뜨면서 안넘어가집니다.,
버그7,버그,"4챕터 궁병 60명 훈련 미션 열릴 때, 말풍선은 계속 데스티나 얼굴인데 두명이 대화(발키리)하는 것 처럼 나옵니다",
버그8,버그,"튜토리얼에 작업하지 않았던 하이라이트 관련 튜토리얼이 노출되고 있음

[이슈]
4챕터 2단계에서 영웅 레벨업 관련 튜토리얼은 미니 말풍선으로만 노출되도록 처리했으나, 실제로 해당 튜토리얼에서 화면을 터치하면 X버튼이나, 영웅 레벨업시켜주는 위치로 이동시켜주는 강제 이동 및 하이라이트 튜토리얼이 노출되고 있음

[수정]
이번에 작업했던 말풍선 관련 튜토리얼만 노출되도록 수정 필요",
의견7,의견,"초반에 너무 건설, 훈련 위주로 진행하다보니 지루한 면이 있는 것 같습니다. 전투나 채집등 보다 다양한 기능들을 초반에 체험시켜주면 좋을 것 같습니다.",
의견8,의견,영지 내 화면에 비해 체크 (건설 완료 등)해줘야하는 건물들이 분산되어 있어 찾기가 힘든 것 같습니다. 관련해서 바로가기 메뉴가 있었으면 좋겠습니다.,
의견9,의견,"영지 내 캐릭터들이 돌아다니는데, 클릭 시 대사 같은걸 하면 더 좋을 것 같습니다.",
의견10,의견,"영지가 큰 것에 비해 많은 건물들이 간격을 많이 두고 있는 것 같습니다. 집중도가 떨어지고, 불필요한 움직임 등이 있을 것 같습니다. (조작) 같은 기능의 건물이면 하나만 있어도 되지 않을까 합니다.",
의견11,의견,"초반 동선인데, 병력 훈련 미션이 시간이 너무 깁니다. 보다 전개가 빠른 게 있어야할 듯 싶습니다.",
의견12,의견,건설/연구의 경우 카운트 종료 시 완료 선택 안하고 자동 완료되어도 좋을 것 같습니다. 짧은 건물 여러개 업그레이드 할 때 건설 대기열에 자주 걸려 불편,
의견13,의견,영지 내 화면 줌인 / 줌아웃이 가능했으면 좋겠습니다.  --> 컨트롤 + 마우스 휠로 가능한 점 확인했습니다,
의견14,의견,"뭘 해야하는지, 왜 해야하는지 모르겠습니다.(동기부여 부족) 처음에는 수몰된 시설을 재건하는 장면에서 시작되는 것으로 보이나, 이내 완성된 도시에서 병력을 생산하고, 전쟁을 위한 영웅을 뽑고 성장하는 것으로 이어집니다.
게임에 흐름이 사용자가 인지하는 상황보다 더 빠르게 흘러 가는 것 같아 아쉬움이 느껴집니다. ",
의견15,의견,"닉네임 변경 초회는 무료로 해줘야하는것이 아닌가 합니다,,,,,

(시작 인벤에 넣어주세요~)",
의견16,의견,똑같은 플레이가 반복되는것같아 플레이하는 동기부여가 잘 느껴지지않습니다,
의견17,의견,바닥이 물인지 바닥이 보이지않는 버그인지 인식이 잘 안되는것같습니다,
버그9,버그,"아직 길드 개방 레벨 아니고, 길드에 가입하지도 않았는데 [길드 도움] 버튼 뜹니다. 도움을 청했다는 토스트 메세지도 뜹니다.",
의견18,의견,소셜성이 강한 게임인데 초반에 채팅창이 없다보니 답답한 것 같습니다. 초반부터 채팅창을 풀어주었으면 좋겠습니다.,
버그10,버그,의도한 바인지는 모르겠지만 해당 ui가 클릭할때마다 렉걸리면서 조금씩 내려갑니다.,
버그11,버그,연맹 가입후 게임 멈춤,
버그12,버그,"튜토리얼 과정에 안나왔지만, 영지 상단으로 시점 올려서 타이탄 격납고 건설이 가능합니다. (현재 7챕터 진행 중)",
버그13,버그,"분수대 설치 보상 받으러 들어갔는데, 영웅 레벨 2 만들기 퀘스트로 인터셉트됨. (재현 불가)",
버그14,버그,"타이탄 제거 예정인데 여왕님이 타이탄 관련 멘트를 날립니다.
이어서 진행하다 보면 타이탄 기능 해금도 나옵니다.",
의견19,의견,"7챕터 병사 3,700명 보유 미션 허들이 좀 높은 것 같습니다",
버그15,버그,9챕터 시작시 나오는 연출에서 말풍선 위치가 맞지 않습니다.,
의견20,의견,"고난의 탑 층마다 추천/권장 전투력같은 표기가 있으면 좋을 것 같습니다.
현재 능력치가 많이 낮은 (5챕터)상태로도 입장이 가능한 걸로 나오는데 해금 시기를 늦춰야  할 것 같습니다.",
의견21,의견,영웅 레벨업 시 배움의 비법이 충분해도 1레벨 단위로 밖에 상승이 불가능합니다. 레벨업 제한을 해제하고 수량을 유저가 원하는 만큼 직접 설정할 수 있었으면 좋겠습니다.,
의견22,의견,첫 전투까지 텀이 너무 긴 것 같습니다. 기본적인 내실 챙기면서 여러 컨텐츠 (필드 전투 등)을 경험해주는 것이 좋을 것 같습니다,
버그16,버그,"[건설] 농장 3레벨 달성 임무가 완료되지 않는 현상
1. 임무 조건 완료 상태
2. 보상 수령 버튼 터치 시 ""이미 보상을 수령하였습니다."" 메시지와 함께 동일 임무가 다시 노출됨
",
의견23,의견,"채집, 몬스터 공격 등 파티를 매 번 나갈 때마다 파티를 구성해줘야하는게 불편한 것 같습니다. 슬롯 설정과 자동 설정 등이 있었으면 좋겠습니다.",
의견24,의견,챕티 진행과 맞지 않는 텍스트가 출력되는 것 같습니다.,
버그17,버그,월드맵에서 일정 수준 이상 줌 들어가면 비 이펙트가 보이지 않습니다.,
버그18,버그,처음 전투 시작시 캐릭터들이 뒤로 한 번 더 갔다가 앞으로 전진합니다. 움직임이 조금 부자연스러운 것 같습니다.,
버그19,버그,행군중인 부대 선택시 UI 버튼 이미지 미씽.,
버그20,버그,"9챕터 시작 시 이벤트 팝업이 먼저 열리고, 그다음 이벤트 기능 해금 연출이 나오는 것 같습니다.",
의견25,의견,"전투보고서(메일)의 좌표 링크를 클릭하면 해당 지점으로 이동은 되나 아무런 표시가 없어서 무반응으로 오해할 것 같습니다.
셀렉트 박스나 팝업이라도 띄워주는게 좋을 것 같습니다.",
버그21,버그,연맹 부대지원으로 출정시킨 부대가 산에 가로막혀서 움직이지 않습니다. 복귀 버튼 클릭 시 '점령한 관문이 없습니다.' 라는 팝업이 노출됩니다.,
버그22,버그,"연맹 서신을 통해 가입하지 않고, 검색을 통해 가입했는데 연맹에 가입하라는 튜토리얼이 나오고 있습니다.",
의견26,의견,영웅 레벨업 일괄 업 기능있었으면 좋겠습니다. (특정 레벨까지 먹이기),
의견27,의견,아레나에 순수 유저만 있어 후발대 유저는 이기기 너무 힘든 것 같습니다. 봇도 있었으면 좋겠습니다.,
의견28,의견,성 2레벨 달성 시 갑자기 카일라가 획득되며 설명이 없어 흐름이 조금 부자연스러워보입니다,
의견29,의견,"별의 조각 소환 미션에서 바로가기 이동 시 '범 그랜드 소환'으로 이동되어 보석 부족으로 소환하지 못하는 흐름으로 이어집니다.
바로가기 시 무료 소환 가능한 탭으로 이동되면 좋을 것 같습니다.",
의견30,의견,"자동 자원 획득 기능과 및 오프라인 자원 보상이 있으면 좋을 것 같습니다. 
현재는 일정 시간마다 일일이 눌러줘야해서 피로감이 있는 것 같습니다.",
버그23,버그,"관문 넘어 출정한 유닛이 복귀를 못합니다.
(죽어야 복귀됩니다.)",
의견31,의견,현재 잔여시간보다 큰 가속권 사용 시 남은 시간만큼의 잔여권을 돌려주었으면 좋겠습니다.,
버그24,버그, 캐시샵창을 열었을때는 알림으로 나오는게 없는데 캐시샵 알림이 1이 남아있습니다,
의견32,의견,"유저들이 접속하는 시간대가 다양하기 때문에 집결 시간을 맞추기 어려울 것 같습니다.
자동 집결 설정이 가능했으면 좋겠습니다.",
의견33,의견,집결 상황일 때 테두리가 깜빡거리는 그래픽이 너무 눈이 아픈 것 같습니다. ,
의견34,의견,집결을 5분으로 설정했어도 집결에 참여하는 유저 중 멀리 떨어져 있어 5분을 초과하는 유저는 버리고 집결을 떠났으면 좋겠습니다. 현재는 집결 설정 시간이 지났어도 해당 유저를 기다렸다가 출발합니다.,
버그25,버그,해당 HUD 100% 상태에서 사라지지 않습니다,
의견35,의견,전투 시마다 끊기는 듯한 느낌의 전투가 보기에 불편합니다. 가끔 지형지물을 통과한다던가 매끄럽게 진행되지 않는 부분들이 개선되면 좋겠습니다.,
버그26,버그,"[이슈]
1) 게임을 중간에 종료하고 재접속 시, 채팅창 내역이 없다고 나옵니다. 이 후, 채팅을 1회 치면 이전 채팅이 나오도록 됩니다.
2) 추가로 채팅에 프로필 이미지가 없는 것으로 나옵니다. (프로필 이미지를 바꾸면 그때부턴 잘 나옵니다만, 다시 게임 접속 후 재접속 시 동일한 증상 발생)

[수정]
1) 채팅 내역이 어느정도는 게임에 재접속해도 노출되어야 할 것 같습니다. (채팅이 없어보여 사람이 없는 것처럼 느껴질 수 있습니다.)
2) 현재 내가 설정된 프로필 이미지가 노출되어야 할 것 같습니다. ",
의견36,의견,보석이나 vip포인트 아이템의 경우 인벤토리에 지급되는 형태가 아닌 재화로 바로 들어오는 방향은 어떤지 의견드립니다.,
의견37,의견,"전투 부대로도 채집이 가능한데, 채집 부대가 따로 있어서 별도 차별점이 있었으면 좋겠습니다. (채집량 / 속도 등) 차별점이 있다면 패스해주세요~
(GL: 채집 슬롯 없애고, 유료 일반 슬롯 변경 예정)",
버그27,버그,백그라운드 이동 후 게임 복귀 시 화면이 멈추는 현상이 있습니다.,
의견38,의견,"홍수인데 대형 분수를 설치하는 것이 조금 어색하게 느껴집니다. 대른 조형물로 대체가 되면 좋겠습니다.
(건물 리스트 및 미션을 제외시키는 방향)",
버그28,버그,무역항 설치시 나오는 대화컷 짤림,
의견39,의견,즉시완료 비용보다 가속 비용이 더 많이 들어서 어색한 것 같습니다.,
의견40,의견,UI 메뉴가 아이콘으로만 되어있어 알아보기 힘든 것 같습니다. 텍스트도 같이 넣어주셨으면 좋겠습니다.,
버그29,버그,"손등의 십자가 이벤트의 경우 별의 파편을 사용해 단어들이 나와야 활성화가 됩니다.

이에, 이벤트를 진행 하실거면 문제없으나 
이벤트를 진행하지 않을시 제거 하거나
혹은 이벤트 진행시 처음부터 확인이 가능해야 할 것 같습니다.",
버그30,버그,"[영문 버전] 탐험 전투에서 슬롯 모두 배치 후 자동 배치 선택 시 한글 스트링 출력

String: 모든 슬롯이 배치되었습니다",
의견41,의견,아이템 부족 시 판매처나 획득 가능한 컨텐츠를 연결시켜주면 좋을 것 같습니다. 어디서 획득하는지 잘 모르겠어서요,
버그31,버그,전투에서 자동 배치 시 슬롯이 1개만 배치됩니다.,
의견42,의견,같은 연맹원이라면 닉네임을 검색해서 위치를 알 수 있는 기능이 있었으면 좋겠습니다.,
버그32,버그,"[버그]
월드의 자원지의 자원량 수치가 비정상적으로 표시되고 있다.
각 자원지 종류 및 레벨별 표시되는 수치가 1,234,567,890 으로 통일되서 표시됨
ㄴ 단, 유니티에서는 정상적으로 표시됩니다.

[수정]
각 자원지의 종류와 레벨에 맞는 남은 자원량이 정확하게 표시되어야 한다.",
버그33,버그,"[버그]
타이탄과 특수 병종에 대한 기능이 막혀있음

[수정]
타이탄과 특수 병종은 모두 소런에서 사용가능한 상태로 출시해야할 것 으로 보임",
,,탑 9층에 지형안으로 이동합니다.,
의견43,의견,"별의 조각 소환 유도가 되어있지 않아 혼란의 여지가 있습니다. 소환창 가면 돈이 없어 바로 뽑을 수 있는게 없고, 아래 탭을 눌러 무료소환을 해야하는대, 과정이 부드럽지 못함",
의견44,의견,"공격 -> 출정 -> 행군 눌렀는데 팝업 상태가 변경되지 않아, 출정이 되고 있는 것인지 구분이 어렵습니다.",
버그34,버그,행군 시 지형을 가로질러 갑니다,
의견45,의견,4X 완전히 처음하는대 처음에 가속권이 뭔지 몰라 4분~5분씩 기다리는 시간이 지루했고 초반부분 플레이시 뭐 하는 게임인지 전혀 모르겠습니다. 게임내 목표라던지 동기부여거리가 없어 계속 뭐해야하지 왜하는거지 이 상태입니다,
버그35,버그,,
